Stratum,Search Terms,Term Type,minumum age (MYA),maximum age (MYA),supereon,eon_eonothem,era_erathem,system_period,series_epoch,stage_age,relative_sort_order
Carboniferous,"Carboniferous,Pennsylvanian,Mississippian,Lower Pennsylvanian,Bashkirian,Middle Pennsylvanian,Moscovian,Upper Pennsylvanian,Gzhelian,Kasimovian,Lower Mississippian,Tournaisian,Middle Mississippian,Visean,Upper Mississippian,Serpukhovian",system_period,298.9,358.9,,Phanerozoic,Paleozoic,Carboniferous,,,3
Emsian,Emsian,stage_age,393.3,407.6,,Phanerozoic,Paleozoic,Devonian,Lower Devonian,Emsian,5
Lochkovian,Lochkovian,stage_age,410.8,419.2,,Phanerozoic,Paleozoic,Devonian,Lower Devonian,Lochkovian,5
Pragian,Pragian,stage_age,407.6,410.8,,Phanerozoic,Paleozoic,Devonian,Lower Devonian,Pragian,5
Lower Devonian,"Lower Devonian,Lochkovian,Pragian,Emsian",series_epoch,393.3,419.2,,Phanerozoic,Paleozoic,Devonian,Lower Devonian,,4
Eifelian,Eifelian,stage_age,387.7,393.3,,Phanerozoic,Paleozoic,Devonian,Middle Devonian,Eifelian,5
Givetian,Givetian,stage_age,382.7,387.7,,Phanerozoic,Paleozoic,Devonian,Middle Devonian,Givetian,5
Middle Devonian,"Middle Devonian,Eifelian,Givetian",series_epoch,382.7,393.3,,Phanerozoic,Paleozoic,Devonian,Middle Devonian,,4
Famennian,Famennian,stage_age,358.9,372.2,,Phanerozoic,Paleozoic,Devonian,Upper Devonian,Famennian,5
Frasnian,Frasnian,stage_age,372.2,382.7,,Phanerozoic,Paleozoic,Devonian,Upper Devonian,Frasnian,5
Upper Devonian,"Upper Devonian,Frasnian,Famennian",series_epoch,358.9,382.7,,Phanerozoic,Paleozoic,Devonian,Upper Devonian,,4
Devonian,"Devonian,Lower Devonian,Middle Devonian,Upper Devonian,Lochkovian,Pragian,Emsian,Eifelian,Givetian,Frasnian,Famennian",system_period,358.9,419.2,,Phanerozoic,Paleozoic,Devonian,,,3
Floian,Floian,stage_age,470,477.7,,Phanerozoic,Paleozoic,Ordovician,Lower Ordovician,Floian,5
Tremadocian,Tremadocian,stage_age,477.7,485.4,,Phanerozoic,Paleozoic,Ordovician,Lower Ordovician,Tremadocian,5
